"ID","URL","PDF","Country","Province","Date","Completion","Trial status","Design","Blinding","Arms","COVID-19 status","Severity","Patient setting","Outcome","Treatment","Size"
"EUCTR2020-001448-24-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001448-24",NA,"India","New Delhi","2020-Apr",NA,"Not Recruiting","Randomised","Open-Label",4,"Healthy, Confirmed","Healthy, Asymptomatic","Hospital","Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever, Serious or Seconday Infections, Serious Adverse Events, ALT","HCQ, LPV/r, SOC",6400
"NL8523","https://trialregister.nl/trial/8523",NA,"Netherlands","Amsterdam","2020-Apr",NA,"Not Recruiting","Randomised","Open-Label",2,"Confirmed, Suspected","Severe","ICU","ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, PaO2-FiO2, Renal Outcome (Unspecified), Cardiac Outcome (Unspecified)","Anesthetic",20
"NCT04398147","https://ClinicalTrials.gov/show/NCT04398147",NA,"Canada","Ottawa","2020-May","2021-Mar","Not Recruiting","Randomised","Quadruple",2,"Healthy","None","Healthy Unexposed","Adverse Events, Serious Adverse Events, Anti SARS-COV-2 Titers, IL-2, Tumor Necrosis Factor (Any), Interferon (Any), Lymphocyte Count, IgG, IgM or IgA, Antibodies","SOC, Vaccine",696
"2020-001684-89","https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001684-89/GB/",NA,"United Kingdom","London","2020-Apr",NA,"Recruiting","Randomised","Open-Label",3,"Confirmed","Unclear","Hospital","Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Fever, Serious or Seconday Infections, Adverse Events, C-Reactive Protein, Ferritin, Lymphocyte Count, Neutrophils, D-Dimer, Triglycerides, LDH, PaO2-FiO2, SpO2, Respiratory Rate","mAb, Other",NA
"NCT04382729","https://ClinicalTrials.gov/show/NCT04382729",NA,"Italy","Rome","2020-May","2020-Jul","Recruiting","Randomised","Single",2,"Confirmed","Unclear","Hospital","Clinical Improvement Score (Any), Other Mild Symptoms, 6-Minute Walking Distance, Quality of Life","Exercise, Other",80
"2020-001354-22","https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001354-22/GB/",NA,"United Kingdom","London","2020-Apr",NA,"Recruiting","Randomised","Open-Label",3,"Confirmed","Unclear","Hospital","Mortality, Clinical Improvement Score (Any), Invasive Mechanical Ventilation or ECMO, Adverse Events, Renal Outcome (Unspecified)","JAKi, mAb, SOC",NA
"JPRN-JRCT2031200035","https://rctportal.niph.go.jp/en/detail?trial_id=JRCT2031200035",NA,"United States","Washington, Dc","2020-May",NA,"Not Recruiting","Randomised","Unspecified",NA,"Confirmed Or Suspected","Unclear","Hospital","Mortality, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Adverse Events, Serious Adverse Events, White Blood Cell Count, Platelet Count, Hemoglobin, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir, Remdesivir + JAKi",35
"JPRN-JRCT2031200035","https://rctportal.niph.go.jp/en/detail?trial_id=JRCT2031200035",NA,"Japan","Tokyo","2020-May",NA,"Not Recruiting","Randomised","Unspecified",NA,"Confirmed Or Suspected","Unclear","Hospital","Mortality, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Adverse Events, Serious Adverse Events, White Blood Cell Count, Platelet Count, Hemoglobin, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir, Remdesivir + JAKi",35
"JPRN-JRCT2031200035","https://rctportal.niph.go.jp/en/detail?trial_id=JRCT2031200035",NA,"Japan","Toyama","2020-May",NA,"Not Recruiting","Randomised","Unspecified",NA,"Confirmed Or Suspected","Unclear","Hospital","Mortality, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Adverse Events, Serious Adverse Events, White Blood Cell Count, Platelet Count, Hemoglobin, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir, Remdesivir + JAKi",35
"2020-001357-52","https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001357-52/ES/",NA,"Spain","Madrid","2020-May",NA,"Recruiting","Randomised","Double",2,"Healthy","Healthy","Healthy Unexposed","Viral Load or Clearance, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), Adverse Events, Distress","HCQ, SOC",NA
"NCT04392128","https://ClinicalTrials.gov/show/NCT04392128",NA,"France","Paris","2020-May","2020-Dec","Not Recruiting","Randomised","Quadruple",4,"Confirmed","Non-severe","Outpatient","Mortality, Viral Load or Clearance, Cough, Fever, Dyspnea, Anti SARS-COV-2 Titers","HCQ + AZT, SOC",114
"2020-001700-42","https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001700-42/FR/",NA,"France","Paris","2020-Apr",NA,"Recruiting","Randomised","Open-Label",2,"Confirmed","Unclear","Hospital","Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO, Cough, SpO2, Renal Outcome (Unspecified)","ACEi, SOC",NA
"NCT04395976","https://ClinicalTrials.gov/show/NCT04395976",NA,"United Kingdom","London","2020-May","2020-Sep","Not Recruiting","Randomised","Open-Label",2,"Suspected","None","Healthy Exposed","Viral Load or Clearance","Alternative therapy, SOC",120
"IRCT20080901001165N56","http://en.irct.ir/trial/48116",NA,"Iran","Tehran","2020-May","2020-Jul","Recruiting","Randomised","Open-Label",2,"Confirmed","Moderate","Hospital","Cough, Fever, Dyspnea, Adverse Events","Alternative therapy, SOC",60
"IRCT20200405046960N2","http://en.irct.ir/trial/48126",NA,"Iran","Tehran","2020-May","2020-Jul","Recruiting","Randomised","Double",2,"Confirmed Or Suspected","Moderate/Severe","Hospital","Cough, Fever, C-Reactive Protein, White Blood Cell Count, Lymphocyte Count, SpO2, Respiratory Rate","Alternative therapy, SOC",60
"IRCT20200518047497N1","http://en.irct.ir/trial/48289",NA,"Iran","East Azarbaijan","2020-May","2020-Jul","Recruiting","Randomised","Triple",2,"Confirmed Or Suspected","Unclear","Hospital","Mortality, Hospitalization, Cough, Fever, Dyspnea, Other Mild Symptoms, C-Reactive Protein, White Blood Cell Count, SpO2, Respiratory Rate, Radiographic Findings","Alternative therapy, SOC",80
"IRCT20200506047319N1","http://en.irct.ir/trial/48095",NA,"Iran","Zanjan","2020-May","2020-Jul","Recruiting","Randomised","Open-Label",2,"Confirmed","Unclear","Hospital","Cough, Fever, Dyspnea, Other Mild Symptoms","Alternative therapy, SOC",100
"IRCT20081019001369N6","http://en.irct.ir/trial/47188",NA,"Iran","Tehran","2020-May","2020-Oct","Not Recruiting","Randomised","Open-Label",2,"Confirmed","Moderate/Severe","Hospital","Mortality, ICU Admission, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), PaO2-FiO2","Alternative therapy, SOC",30
"NCT04392453","https://clinicaltrials.gov/show/NCT04392453",NA,"Italy","Milano","2020-May",NA,"Not Recruiting","Single-Arm","Open-Label",1,"Healthy","None","Hospital",NA,"Device",40
"2020-001994-66","https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001994-66/ES/",NA,"Spain","Madrid","2020-May",NA,"Recruiting","Randomised","Double",2,"Confirmed, Healthy","Unclear, Healthy","Healthy Exposed, Outpatient","Mortality, Viral Load or Clearance, Household Members with CoViD-19, Anti SARS-COV-2 Titers","Ivermectin, SOC",NA
"2020-001474-29","https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001474-29/ES/",NA,"Spain","Madrid","2020-May",NA,"Recruiting","Randomised","Double",2,"Confirmed","Unclear","Outpatient","Mortality, Viral Load or Clearance, Cough, Fever, Adverse Events, IgG, IgM or IgA","Ivermectin, SOC",NA
"NCT04377711","https://ClinicalTrials.gov/show/NCT04377711",NA,"Switzerland","Zug","2020-May","2020-Sep","Not Recruiting","Randomised","Double",2,"Confirmed","Unclear","Outpatient","Mortality, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance, Cough, Fever, Dyspnea, Other Mild Symptoms, Adverse Events, SpO2","Corticosteroids, SOC",400
"CHICTR2000032769","http://www.chictr.org.cn/showproj.aspx?proj=53368",NA,"China","Beijing","2020-May",NA,"Recruiting","Randomised","Double",2,"Confirmed","Mild/Moderate/Severe","Unclear","Viral Load or Clearance, Non-invasive Ventilation, Cough, Fever, Other Mild Symptoms, Adverse Events, Radiographic Findings","DAA, SOC",342
"NCT04397718","https://ClinicalTrials.gov/show/NCT04397718",NA,"United States","California","2020-May","2020-Oct","Not Recruiting","Randomised","Double",2,"Confirmed","Moderate/Severe","Hospital","Mortality, Hospitalization, Clinical Improvement Score (Any), Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Fever","Hormone therapy, SOC",198
"NCT04397718","https://ClinicalTrials.gov/show/NCT04397718",NA,"United States","New York","2020-May","2020-Oct","Not Recruiting","Randomised","Double",2,"Confirmed","Moderate/Severe","Hospital","Mortality, Hospitalization, Clinical Improvement Score (Any), Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Fever","Hormone therapy, SOC",198
"NCT04397718","https://ClinicalTrials.gov/show/NCT04397718",NA,"United States","Washington","2020-May","2020-Oct","Not Recruiting","Randomised","Double",2,"Confirmed","Moderate/Severe","Hospital","Mortality, Hospitalization, Clinical Improvement Score (Any), Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Fever","Hormone therapy, SOC",198
"NCT04382131","https://clinicaltrials.gov/show/NCT04382131",NA,"United Kingdom","London","2020-Aug",NA,"Not Recruiting","Randomised","Open-Label",2,"Confirmed, Suspected","Unclear","Outpatient","Hospitalization, Clinical Improvement Score (Any), Other Mild Symptoms, Adverse Events","Hygiene, SOC",405
"NCT04379271","https://ClinicalTrials.gov/show/NCT04379271",NA,"United States","New York","2020-May","2020-Oct","Not Recruiting","Randomised","Double",2,"Confirmed","Moderate","Hospital","Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever, Adverse Events, C-Reactive Protein, Tumor Necrosis Factor (Any), Interferon (Any), D-Dimer, Weight, Height or BMI, Troponin, Procalcitonin, LDH, IgG, IgM or IgA, Antibodies, Blood Pressure, Heart Rate, ECG, SpO2, Renal Outcome (Unspecified), Cardiac Outcome (Unspecified)","Immunomodulators, SOC",230
"NCT04391309","https://ClinicalTrials.gov/show/NCT04391309",NA,"United States","Washington","2020-May","2021-Jul","Not Recruiting","Randomised","Quadruple",2,"Confirmed","Unclear","Hospital","Hospitalization, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein","mAb, SOC",300
"NCT04397562","https://ClinicalTrials.gov/show/NCT04397562",NA,"Russia","Moscow","2020-May","2021-Apr","Recruiting","Randomised","Double",2,"Confirmed","Severe","Hospital","Mortality","mAb, SOC",204
"NCT04397497","https://clinicaltrials.gov/show/NCT04397497",NA,"Italy","Rome","2020-May",NA,"Not Recruiting","Randomised","Quadruple",1,"Confirmed","Severe","Hospital","Mortality, Clinical Improvement Score (Any), Viral Load or Clearance, Pneumonia or ARDS, Invasive Mechanical Ventilation or ECMO, Fever, Adverse Events, Anti SARS-COV-2 Titers, IL-1, IL-6, Tumor Necrosis Factor (Any), White Blood Cell Count, Hemoglobin, PaO2-FiO2, SpO2, Radiographic Findings","mAb, SOC",50
"NCT04376684","https://ClinicalTrials.gov/show/NCT04376684",NA,"United Kingdom","London","2020-May","2020-Dec","Not Recruiting","Randomised","Double",3,"Confirmed","Severe","Hospital","Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Adverse Events, Serious Adverse Events","mAb, SOC",800
"2020-001759-42","https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001759-42/ES/",NA,"France","Paris","2020-May",NA,"Recruiting","Randomised","Double",2,"Confirmed","Severe","Hospital","Mortality, ICU Admission, Hospital Discharge, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Adverse Events, Serious Adverse Events","mAb, SOC",800
"2020-001759-42","https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001759-42/ES/",NA,"Spain","Madrid","2020-May",NA,"Recruiting","Randomised","Double",2,"Confirmed","Severe","Hospital","Mortality, ICU Admission, Hospital Discharge, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Adverse Events, Serious Adverse Events","mAb, SOC",800
"2020-001759-42","https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001759-42/ES/",NA,"United Kingdom","London","2020-May",NA,"Recruiting","Randomised","Double",2,"Confirmed","Severe","Hospital","Mortality, ICU Admission, Hospital Discharge, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Adverse Events, Serious Adverse Events","mAb, SOC",800
"2020-001759-42","https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001759-42/ES/",NA,"United States","Washington, Dc","2020-May",NA,"Recruiting","Randomised","Double",2,"Confirmed","Severe","Hospital","Mortality, ICU Admission, Hospital Discharge, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Adverse Events, Serious Adverse Events","mAb, SOC",800
"NCT04398290","https://ClinicalTrials.gov/show/NCT04398290",NA,"United States","Florida","2020-May","2021-Jan","Not Recruiting","Randomised","Double",3,"Confirmed","Mild/Moderate","Hospital","Mortality, Hospitalization, Adverse Events, Hemoglobin, Hypoxemia","Non-invasive respiratory support, SOC",30
"NCT04397692","https://ClinicalTrials.gov/show/NCT04397692",NA,"United States","Arkansas","2020-May","2020-Aug","Not Recruiting","Randomised","Open-Label",2,"Confirmed","Unclear","Hospital","Hospitalization, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, SpO2","Non-invasive respiratory support, SOC",20
"2020-001203-16","https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001203-16/GB/",NA,"United Kingdom","London","2020-Apr",NA,"Recruiting","Randomised","Single",2,"Confirmed","Unclear","Hospital","Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO, PaO2-FiO2, SpO2","NSAIDs, SOC",NA
"NL8578","https://trialregister.nl/trial/8578",NA,"Netherlands","Amsterdam","2020-Feb",NA,"Not Recruiting","Randomised","Double",2,"Confirmed, Suspected","Severe","ICU","Mortality, Invasive Mechanical Ventilation or ECMO, Adverse Events, IL-6, IL-8, IL-10, Tumor Necrosis Factor (Any), Renal Outcome (Unspecified)","Other, SOC",124
"NCT04396106","https://ClinicalTrials.gov/show/NCT04396106",NA,"United States","California","2020-May","2020-Jul","Not Recruiting","Randomised","Triple",2,"Confirmed","Moderate","Hospital","Invasive Mechanical Ventilation or ECMO, Fever, Other Mild Symptoms, Adverse Events, Respiratory Rate","Other, SOC",180
"NCT04396106","https://ClinicalTrials.gov/show/NCT04396106",NA,"United States","Illinois","2020-May","2020-Jul","Not Recruiting","Randomised","Triple",2,"Confirmed","Moderate","Hospital","Invasive Mechanical Ventilation or ECMO, Fever, Other Mild Symptoms, Adverse Events, Respiratory Rate","Other, SOC",180
"NCT04396106","https://ClinicalTrials.gov/show/NCT04396106",NA,"United States","Maryland","2020-May","2020-Jul","Not Recruiting","Randomised","Triple",2,"Confirmed","Moderate","Hospital","Invasive Mechanical Ventilation or ECMO, Fever, Other Mild Symptoms, Adverse Events, Respiratory Rate","Other, SOC",180
"NCT04396106","https://ClinicalTrials.gov/show/NCT04396106",NA,"United States","Massachusetts","2020-May","2020-Jul","Not Recruiting","Randomised","Triple",2,"Confirmed","Moderate","Hospital","Invasive Mechanical Ventilation or ECMO, Fever, Other Mild Symptoms, Adverse Events, Respiratory Rate","Other, SOC",180
"NCT04396106","https://ClinicalTrials.gov/show/NCT04396106",NA,"United States","Missouri","2020-May","2020-Jul","Not Recruiting","Randomised","Triple",2,"Confirmed","Moderate","Hospital","Invasive Mechanical Ventilation or ECMO, Fever, Other Mild Symptoms, Adverse Events, Respiratory Rate","Other, SOC",180
"NCT04396106","https://ClinicalTrials.gov/show/NCT04396106",NA,"United States","Ohio","2020-May","2020-Jul","Not Recruiting","Randomised","Triple",2,"Confirmed","Moderate","Hospital","Invasive Mechanical Ventilation or ECMO, Fever, Other Mild Symptoms, Adverse Events, Respiratory Rate","Other, SOC",180
"NCT04396106","https://ClinicalTrials.gov/show/NCT04396106",NA,"United States","South Carolina","2020-May","2020-Jul","Not Recruiting","Randomised","Triple",2,"Confirmed","Moderate","Hospital","Invasive Mechanical Ventilation or ECMO, Fever, Other Mild Symptoms, Adverse Events, Respiratory Rate","Other, SOC",180
"2020-001502-38","https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001502-38/GB/",NA,"United Kingdom","London","2020-Apr",NA,"Recruiting","Randomised","Double",2,"Confirmed","Unclear","Hospital","Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever, Adverse Events, C-Reactive Protein, Ferritin, IL-6, IL-10, Tumor Necrosis Factor (Any)","Other, SOC",NA
"2020-001493-29","https://www.clinicaltrialsregister.eu/ctr-search/trial/2020-001493-29/DE/",NA,"Germany","Berlin","2020-Apr",NA,"Recruiting","Randomised","Double",2,"Confirmed","Unclear","Outpatient, Hospital","Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Adverse Events, Serious Adverse Events, Monocyte Count, Neutrophils, Platelet Count, Hemoglobin, ALT, AST, Bilirubin, Glucose, ECG","Other, SOC",NA
"NCT04382053","https://ClinicalTrials.gov/show/NCT04382053",NA,"Denmark","Copenhagen","2020-May","2020-Jul","Recruiting","Randomised","Open-Label",2,"Confirmed","Unclear","Hospital","Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, C-Reactive Protein, Quality of Life","Other, SOC",120
